,sample_name,plate,sampleID,flag_A,flag_B
699,MIZ396_whole_blood,4,MIZ396,0,0
700,MIZ397_whole_blood,4,MIZ397,0,0
701,MIZ398_whole_blood,4,MIZ398,0,0
702,MIZ400_urine,2,MIZ400,0,0
703,MIZ400_whole_blood,3,MIZ400,0,0
704,MIZ401_urine,2,MIZ401,0,0
705,MIZ401_whole_blood,3,MIZ401,0,0
706,MIZ403_urine,2,MIZ403,0,0
707,MIZ403_whole_blood,3,MIZ403,0,0
708,MIZ404_whole_blood,3,MIZ404,0,0
709,MIZ405_urine,2,MIZ405,0,0
710,MIZ405_whole_blood,3,MIZ405,0,0
711,MIZ407_urine,2,MIZ407,0,0
712,MIZ407_whole_blood,3,MIZ407,0,0
713,MIZ408_urine,2,MIZ408,0,0
714,MIZ408_whole_blood,3,MIZ408,0,0
715,MIZ409_whole_blood,3,MIZ409,0,0
716,MIZ41_whole_blood,2,MIZ41,0,0
717,MIZ410_whole_blood,3,MIZ410,0,0
718,MIZ411_whole_blood,3,MIZ411,0,0
719,MIZ412_whole_blood,3,MIZ412,0,0
720,MIZ413_whole_blood,3,MIZ413,0,0
721,MIZ414_whole_blood,3,MIZ414,0,0
722,MIZ415_whole_blood,3,MIZ415,0,0
723,MIZ416_whole_blood,3,MIZ416,0,0
724,MIZ426_whole_blood,3,MIZ426,0,0
725,MIZ428_whole_blood,3,MIZ428,0,0
726,MIZ429_whole_blood,3,MIZ429,0,0
727,MIZ430_whole_blood,3,MIZ430,0,0
728,MIZ431_whole_blood,3,MIZ431,0,0
729,MIZ432_whole_blood,3,MIZ432,0,0
730,MIZ433_whole_blood,3,MIZ433,0,0
